200507020216A 11.06 -86.7 6343.0
201308160531A -41.76 174.17 6353.5
062291A 23.64 -108.45 6356.0
201801191617A 26.78 -111.06 6353.7
122703A -22.13 169.27 6356.0
201509170410A -31.65 -71.94 6334.4
200604172349A -12.59 166.12 6342.5
081489A -19.24 176.83 6356.0
200508111150A -22.04 170.25 6359.0
200804151724A -18.59 -175.6 6358.2
200503140804A -45.1 166.62 6359.0
100695C -19.79 -175.52 6154.1
201010061943A -17.75 -173.45 6288.6
040189A -32.86 -70.19 6252.0
051695F -23.05 170.0 6346.3
201305071010A -19.62 175.08 6359.0
201112150712A -29.34 -175.94 6359.0
012798D -22.53 179.29 5754.1
201205290333A -22.12 -179.37 5774.6
090702C -20.29 -175.61 6162.6
201509070913A -32.83 -177.73 6359.0
201006092323A -18.41 169.59 6358.6
